Brand,Car Type,Vehicle Name,Supplier,Price,Currency,Price Per Day,Rating,Recommended,Car ID,Transmission,Seats,Fuel Type
,Economy,Chevy Spark,NuCars,46.9,USD,6.7,3,No,nuc-71151-ECAR-4,Automatic,4,Petrol
,Compact,Hyundai Accent,NuCars,47.6,USD,6.8,3,No,nuc-71151-CCAR-4,Automatic,4,Petrol
,Intermediate,Kia Forte,NuCars,48.23,USD,6.89,3,No,nuc-71151-ICAR-5,Automatic,5,Petrol
,Compact,Nissan Kicks,NuCars,101.5,USD,14.5,3,No,nuc-71151-CFAR-4,Automatic,4,Petrol
,Fullsize,Nissan Altima,NuCars,278.25,USD,39.75,3,No,nuc-71151-FCAR-5,Automatic,5,Petrol
,Premium elite,Jeep Wrangler 4X4,NuCars,414.75,USD,59.25,3,No,nuc-71151-UFBR-5,Automatic,5,Petrol
,Mini,Toyota Sienna,NuCars,1370.25,USD,195.75,3,No,nuc-71151-MVAR-7,Automatic,7,Petrol
,Premium,Dodge Charger,NuCars,2735.25,USD,390.75,3,No,nuc-71151-PCAR-5,Automatic,5,Petrol
,Premium elite,Dodge Charger Gt,NuCars,2803.5,USD,400.5,3,No,nuc-71151-UCAR-5,Automatic,5,Petrol
,Economy,Mitsubishi Mirage,Enterprise,488.9,USD,69.84,3,No,gx-38401-ECAR-ECAR-4,Automatic,4,Petrol
,Compact,Nissan Versa,Enterprise,490.23,USD,70.03,3,No,gx-38401-CCAR-CCAR-5,Automatic,5,Petrol
,Intermediate,Toyota Corolla,Enterprise,493.39,USD,70.48,3,No,gx-38401-ICAR-ICAR-5,Automatic,5,Petrol
,Standard,Kia Soul,Enterprise,521.48,USD,74.5,3,No,gx-38401-SCAR-SCAR-5,Automatic,5,Petrol
,Standard,Toyota Prius,Enterprise,1248.32,USD,178.33,3,No,gx-38401-SCAH-SCAH-5,Automatic,5,Hybrid
,Fullsize,Toyota Camry,Enterprise,521.48,USD,74.5,3,No,gx-38401-FCAR-FCAR-5,Automatic,5,Petrol
,Fullsize,Honda Accord,Enterprise,521.48,USD,74.5,3,No,gx-38401-FCAH-FCAH-5,Automatic,5,Hybrid
,Premium,Nissan Maxima,Enterprise,1154.39,USD,164.91,3,No,gx-38401-PCAR-PCAR-5,Automatic,5,Petrol
,Premium elite,Mercedes GLE,Enterprise,2533.49,USD,361.93,3,No,gx-38401-UDAR-UDAR-5,Automatic,5,Petrol
,Mini,Chrysler Pacifica,Enterprise,572,USD,81.71,3,No,gx-38401-MVAR-MVAR-7,Automatic,7,Petrol
,Standard,Toyota Sienna,Enterprise,572,USD,81.71,3,No,gx-38401-SVAR-SVAR-8,Automatic,8,Petrol
,Fullsize,Ford Transit,Enterprise,1405.7,USD,200.81,3,No,gx-38401-FVAR-FVAR-15,Automatic,15,Petrol
,Special,Mercedes Sprinter,Enterprise,1505.69,USD,215.1,3,No,gx-38401-XVAR-XVAR-5,Automatic,5,Petrol
,Compact,Hyundai Kona,Enterprise,558.76,USD,79.82,3,No,gx-38401-CFAR-CFAR-5,Automatic,5,Petrol
,Compact,Hyundai Kona,Enterprise,564.71,USD,80.67,3,No,gx-38401-CFDR-CFDR-5,Automatic,5,Petrol
,Intermediate,Nissan Rogue,Enterprise,570.65,USD,81.52,3,No,gx-38401-IFAR-IFAR-5,Automatic,5,Petrol
,Intermediate,Nissan Rogue,Enterprise,590.86,USD,84.41,3,No,gx-38401-IFDR-IFDR-5,Automatic,5,Petrol
,Standard,Chevrolet Equinox,Enterprise,580.7,USD,82.96,3,No,gx-38401-SFAR-SFAR-5,Automatic,5,Petrol
,Standard,Ford Edge,Enterprise,580.7,USD,82.96,3,No,gx-38401-SFDR-SFDR-5,Automatic,5,Petrol
,Standard elite,Audi Q3,Enterprise,628.26,USD,89.75,3,No,gx-38401-RFAR-RFAR-5,Automatic,5,Petrol
,Premium elite,Audi Q5,Enterprise,2331.35,USD,333.05,3,No,gx-38401-UFAR-UFAR-5,Automatic,5,Petrol
,Standard,Ford Mustang,Enterprise,646.79,USD,92.4,3,No,gx-38401-STAR-STAR-4,Automatic,4,Petrol
,Fullsize,Jeep Wrangler,Enterprise,1201.95,USD,171.71,3,No,gx-38401-FJAR-FJAR-5,Automatic,5,Petrol
,Fullsize elite,Audi A5 Sportback,Enterprise,1184.12,USD,169.16,3,No,gx-38401-GXAR-GXAR-5,Automatic,5,Petrol
,Premium,Audi A3,Enterprise,1154.39,USD,164.91,3,No,gx-38401-PXAR-PXAR-5,Automatic,5,Petrol
,Standard,Toyota Tacoma,Enterprise,555.67,USD,79.38,3,No,gx-38401-SPAR-SPAR-4,Automatic,4,Petrol
,Premium,Ford F-150,Enterprise,593.72,USD,84.82,3,No,gx-38401-PPAR-PPAR-4,Automatic,4,Petrol
,Standard,Dodge Challenger,Enterprise,2557.26,USD,365.32,3,No,gx-38401-SSAR-SSAR-4,Automatic,4,Petrol
,Economy,Mitsubishi Mirage,Alamo,452.68,USD,64.67,3,No,gx-34911-ECAR-ECAR-4,Automatic,4,Petrol
,Compact,Nissan Versa,Alamo,453.92,USD,64.85,3,No,gx-34911-CCAR-CCAR-5,Automatic,5,Petrol
,Intermediate,Toyota Corolla,Alamo,456.85,USD,65.26,3,No,gx-34911-ICAR-ICAR-5,Automatic,5,Petrol
,Standard,Kia Soul,Alamo,482.85,USD,68.98,3,No,gx-34911-SCAR-SCAR-5,Automatic,5,Petrol
,Fullsize,Toyota Camry,Alamo,482.85,USD,68.98,3,No,gx-34911-FCAR-FCAR-5,Automatic,5,Petrol
,Premium,Nissan Maxima,Alamo,588.66,USD,84.09,3,No,gx-34911-PCAR-PCAR-5,Automatic,5,Petrol
,Premium elite,Mercedes GLE,Alamo,2459.31,USD,351.33,3,No,gx-34911-UDAR-UDAR-5,Automatic,5,Petrol
,Mini,Chrysler Pacifica,Alamo,556.67,USD,79.52,3,No,gx-34911-MVAR-MVAR-7,Automatic,7,Petrol
,Standard,Toyota Sienna,Alamo,556.67,USD,79.52,3,No,gx-34911-SVAR-SVAR-8,Automatic,8,Petrol
,Fullsize,Ford Transit,Alamo,1364.89,USD,194.98,3,No,gx-34911-FVAR-FVAR-15,Automatic,15,Petrol
,Special,Mercedes Sprinter,Alamo,1462.35,USD,208.91,3,No,gx-34911-XVAR-XVAR-5,Automatic,5,Petrol
,Compact,Hyundai Kona,Alamo,523.1,USD,74.73,3,No,gx-34911-CFAR-CFAR-5,Automatic,5,Petrol
,Compact,Hyundai Kona,Alamo,534.99,USD,76.43,3,No,gx-34911-CFDR-CFDR-5,Automatic,5,Petrol
,Intermediate,Nissan Rogue,Alamo,540.94,USD,77.28,3,No,gx-34911-IFAR-IFAR-5,Automatic,5,Petrol
,Intermediate,Nissan Rogue,Alamo,559.95,USD,79.99,3,No,gx-34911-IFDR-IFDR-5,Automatic,5,Petrol
,Standard,Chevrolet Equinox,Alamo,553.05,USD,79.01,3,No,gx-34911-SFAR-SFAR-5,Automatic,5,Petrol
,Standard,Ford Edge,Alamo,553.05,USD,79.01,3,No,gx-34911-SFDR-SFDR-5,Automatic,5,Petrol
,Standard elite,Audi Q3,Alamo,600.6,USD,85.8,3,No,gx-34911-RFAR-RFAR-5,Automatic,5,Petrol
,Premium elite,Audi Q5,Alamo,2263.22,USD,323.32,3,No,gx-34911-UFAR-UFAR-5,Automatic,5,Petrol
